,First,Second,Third
Ag-Al-Cu,Ag,Al,Cu
Al-C-Mg,Al,C,Mg
Al-Ce-Cr,Al,Ce,Cr
Al-Ce-Mn,Al,Ce,Mn
Al-Cr-Si,Al,Cr,Si
Al-Cu-Li,Al,Cu,Li
Al-Cu-Sc,Al,Cu,Sc
Al-Cu-Zn,Al,Cu,Zn
Al-Fe-Mn,Al,Fe,Mn
Al-In-Sn,Al,In,Sn
Al-Mg-Mn,Al,Mg,Mn
Al-Mg-Sn,Al,Mg,Sn
Al-Mn-Ni,Al,Mn,Ni
Al-Mo-Si,Al,Mo,Si
Al-P-Si,Al,P,Si
Al-Sc-Ti,Al,Sc,Ti
Al-Si-Ti,Al,Si,Ti
Al-Ti-Y,Al,Ti,Y
Cu-Fe-Ni,Cu,Fe,Ni
Cu-Mg-Mn,Cu,Mg,Mn
Cu-Mn-Ni,Cu,Mn,Ni
Cu-Ni-Zn,Cu,Ni,Zn
Fe-Mg-Si,Fe,Mg,Si
Fe-Mn-Zn,Fe,Mn,Zn
Mg-Mn-Ni,Mg,Mn,Ni
Mg-Ni-Zn,Mg,Ni,Zn
Mn-Ni-Si,Mn,Ni,Si
Al-Bi-Mg,Al,Bi,Mg
Al-C-Si,Al,C,Si
Al-Ce-Cu,Al,Ce,Cu
Al-Ce-Ni,Al,Ce,Ni
Al-Cr-Sn,Al,Cr,Sn
Al-Cu-Mg,Al,Cu,Mg
Al-Cu-Si,Al,Cu,Si
Al-Er-Fe,Al,Er,Fe
Al-Fe-Ni,Al,Fe,Ni
Al-Li-Mg,Al,Li,Mg
Al-Mg-Ni,Al,Mg,Ni
Al-Mg-Ti,Al,Mg,Ti
Al-Mn-Si,Al,Mn,Si
Al-Nb-Ti,Al,Nb,Ti
Al-P-Zn,Al,P,Zn
Al-Sc-Zr,Al,Sc,Zr
Al-Si-Y,Al,Si,Y
Bi-Mg-Sn,Bi,Mg,Sn
Cu-Fe-Si,Cu,Fe,Si
Cu-Mg-Ni,Cu,Mg,Ni
Cu-Mn-Si,Cu,Mn,Si
Cu-Si-Zn,Cu,Si,Zn
Fe-Mg-Zn,Fe,Mg,Zn
Fe-Ni-Si,Fe,Ni,Si
Mg-Mn-Si,Mg,Mn,Si
Mg-Sc-Si,Mg,Sc,Si
Mn-Ni-Zn,Mn,Ni,Zn
Al-Bi-Sn,Al,Bi,Sn
Al-C-V,Al,C,V
Al-Ce-Fe,Al,Ce,Fe
Al-Ce-Si,Al,Ce,Si
Al-Cu-Er,Al,Cu,Er
Al-Cu-Mn,Al,Cu,Mn
Al-Cu-Sn,Al,Cu,Sn
Al-Er-Mg,Al,Er,Mg
Al-Fe-Si,Al,Fe,Si
Al-Li-Si,Al,Li,Si
Al-Mg-Sc,Al,Mg,Sc
Al-Mg-Zn,Al,Mg,Zn
Al-Mn-Ti,Al,Mn,Ti
Al-Ni-Si,Al,Ni,Si
Al-Pb-Sn,Al,Pb,Sn
Al-Si-Sn,Al,Si,Sn
Al-Si-Zn,Al,Si,Zn
Cu-Fe-Mg,Cu,Fe,Mg
Cu-Fe-Zn,Cu,Fe,Zn
Cu-Mg-Si,Cu,Mg,Si
Cu-Mn-Zn,Cu,Mn,Zn
Fe-Mg-Mn,Fe,Mg,Mn
Fe-Mn-Ni,Fe,Mn,Ni
Fe-Ni-Zn,Fe,Ni,Zn
Mg-Mn-Zn,Mg,Mn,Zn
Mg-Si-Sn,Mg,Si,Sn
Mn-Si-Zn,Mn,Si,Zn
Al-C-Cr,Al,C,Cr
Al-Cd-Sn,Al,Cd,Sn
Al-Ce-Mg,Al,Ce,Mg
Al-Cr-Mg,Al,Cr,Mg
Al-Cu-Fe,Al,Cu,Fe
Al-Cu-Ni,Al,Cu,Ni
Al-Cu-Ti,Al,Cu,Ti
Al-Fe-Mg,Al,Fe,Mg
Al-Fe-Zn,Al,Fe,Zn
Al-Li-Zr,Al,Li,Zr
Al-Mg-Si,Al,Mg,Si
Al-Mg-Zr,Al,Mg,Zr
Al-Mn-Zn,Al,Mn,Zn
Al-Ni-Zn,Al,Ni,Zn
Al-Sc-Si,Al,Sc,Si
Al-Si-Sr,Al,Si,Sr
Al-Sn-Zn,Al,Sn,Zn
Cu-Fe-Mn,Cu,Fe,Mn
Cu-Li-Mg,Cu,Li,Mg
Cu-Mg-Zn,Cu,Mg,Zn
Cu-Ni-Si,Cu,Ni,Si
Fe-Mg-Ni,Fe,Mg,Ni
Fe-Mn-Si,Fe,Mn,Si
Fe-Si-Zn,Fe,Si,Zn
Mg-Ni-Si,Mg,Ni,Si
Mg-Si-Zn,Mg,Si,Zn
Ni-Si-Zn ,Ni,Si,Zn 
